length_title,length_description,category,caption,licensedContent,privacyStatus,view_count,like_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country,days_online,published_month,duration_sec
96,0,People & Blogs,False,True,public,625138,43852,235,84649206,775000,378,IN,109,10,57
75,2829,Autos & Vehicles,False,True,public,1294662,35723,1560,1859762060,3710000,6133,NL,869,9,294
71,0,Autos & Vehicles,False,True,public,474596,24384,63,365846399,624000,284,US,221,6,13
48,1951,Autos & Vehicles,False,True,public,6900471,38229,612,673639873,1650000,4071,IT,324,3,1416
60,0,Autos & Vehicles,False,True,public,547103,40504,107,365846399,624000,284,US,286,4,18
60,1029,Autos & Vehicles,False,True,public,45281,966,116,20279891,58300,247,DE,535,8,1453
68,1719,Autos & Vehicles,False,True,public,125861,2401,229,322622969,363000,5789,DE,1055,3,1197
20,261,Autos & Vehicles,False,False,public,19007903,445200,1789,63552583,99100,262,PH,860,9,13
34,867,Autos & Vehicles,False,True,public,61917,1633,110,106909786,188000,382,US,83,10,493
45,0,Entertainment,False,True,public,361270,27144,516,200586281,389000,979,US,383,1,54
83,83,Autos & Vehicles,False,False,public,18015094,358948,2399,26034472,79100,15,VN,333,2,23
49,1990,Entertainment,False,True,public,485037,4789,479,50826867,171000,1000,GB,742,1,784
37,199,Entertainment,False,True,public,36456,817,41,389417,2130,47,AU,347,2,672
43,622,Autos & Vehicles,False,False,public,5318,119,21,2788264,18500,111,AU,38,12,247
48,1352,Howto & Style,True,False,public,5196,94,23,371684,1780,32,SG,12,1,894
39,1477,Sports,False,True,public,524904,6856,390,51157754,302000,614,US,1195,10,651
48,486,Autos & Vehicles,False,False,public,88161,1400,118,200128,1440,55,US,1089,1,908
40,40,Sports,False,False,public,72,4,0,28131,163,272,US,2,1,18602
60,1998,People & Blogs,False,True,public,1909195,18683,493,41971829,221000,340,CA,1177,10,547
32,730,Autos & Vehicles,False,False,public,16356,247,27,172622,425,112,US,207,6,467
38,887,Education,False,True,public,946736,13288,473,1185994233,2630000,1815,US,460,10,480
43,1180,Entertainment,False,True,public,82389,1372,216,50826867,171000,1000,GB,996,5,453
43,582,Autos & Vehicles,False,False,public,25350,791,47,200128,1440,55,US,1084,2,388
33,1229,Education,False,True,public,1886807,27005,846,1185994233,2630000,1815,US,691,3,699
39,429,Autos & Vehicles,False,True,public,51522,1955,18,439059196,884000,1371,US,411,12,19
29,163,Entertainment,False,True,public,5714,128,15,389417,2130,47,AU,60,11,877
30,2767,Sports,False,True,public,121010,2331,160,51157754,302000,614,US,275,4,626
60,474,Entertainment,False,True,public,23335,273,18,91592946,187000,619,US,272,4,888
40,1273,Entertainment,False,True,public,69868,1867,322,50826867,171000,1000,GB,516,8,622
40,1975,Entertainment,False,True,public,99874,1274,109,6734787,48300,268,NZ,993,5,490
57,901,Entertainment,True,True,public,101768,1596,164,389417,2130,47,AU,1184,10,580
74,1210,Education,False,True,public,5144616,3851,0,292567901,444000,326,US,44,12,1037
29,993,Film & Animation,False,True,public,294184,2070,143,60784795746,60500000,39992,US,400,12,463
41,2401,Howto & Style,False,True,public,91812,5061,219,147141887,1100000,1020,US,8,1,1112
45,1479,Film & Animation,False,True,public,348712,3704,0,60784795746,60500000,39992,US,411,12,148
53,1446,Film & Animation,False,True,public,243481,1724,0,60784795746,60500000,39992,US,411,12,201
27,53,Howto & Style,False,True,public,978088,75681,282,116665860,284000,1827,US,347,2,58
69,0,Howto & Style,False,False,public,241,9,0,188835,1550,42,US,3,1,38
36,355,Education,False,True,public,4104135,80159,2867,1558632233,7210000,2204,US,1594,9,636
37,241,Entertainment,False,False,public,1932471,1076,164,17963531,119000,199,US,12,1,871
27,68,Entertainment,False,True,public,251009,1983,0,168146307,261000,1924,US,413,12,187
62,558,Entertainment,False,True,public,1685462,50650,1451,64961975,664000,416,US,836,10,520
37,0,People & Blogs,False,True,public,456258,12709,174,1876965665,2820000,1656,US,632,4,29
94,0,Entertainment,False,False,public,200248,4365,211,10219591,39900,432,RU,412,12,21
84,0,Howto & Style,False,True,public,322642,22339,274,241660671,582000,2969,US,340,2,60
59,1509,Film & Animation,False,True,public,323099,2813,0,60784795746,60500000,39992,US,411,12,114
34,53,Howto & Style,False,True,public,1447801,116336,416,116665860,284000,1827,US,346,2,60
39,731,Howto & Style,False,True,public,601162,52491,274,527154780,1000000,622,CA,510,8,54
55,1587,Film & Animation,False,False,public,105468,241,27,1234973355,2290000,9343,US,4714,2,40
48,1592,Film & Animation,False,True,public,53475,212,35,1234973355,2290000,9343,US,4715,2,72
45,1587,Film & Animation,False,False,public,137533,508,98,1234973355,2290000,9343,US,4714,2,69
38,131,Entertainment,False,False,public,13396,61,3,4049061,5120,70,US,4577,7,268
38,1590,Film & Animation,False,False,public,9089,91,20,1234973355,2290000,9343,US,4714,2,62
50,1587,Film & Animation,False,False,public,131801,545,70,1234973355,2290000,9343,US,4714,2,78
52,1336,Film & Animation,False,True,public,160409,3916,70,32141319,248000,398,US,122,9,468
48,1597,Film & Animation,False,False,public,610579,3070,366,1234973355,2290000,9343,US,4765,1,122
40,1714,Film & Animation,False,False,public,13738,47,0,193761904,92100,2499,DE,4679,4,32
76,248,Gaming,False,True,public,1377182,2758,43,976176244,1120000,7340,DE,226,6,4592
67,660,Gaming,False,True,public,24576,2061,82,954911116,2820000,1443,DE,1,1,3971
67,242,Gaming,False,True,public,8919442,17045,361,976176244,1120000,7340,DE,675,3,1448
23,1817,People & Blogs,True,True,public,64570389,372497,14720,3711568069,7130000,150,US,942,6,882
51,455,Gaming,False,False,public,1507706,4210,101,4222576,4130,50,DK,694,2,8945
29,172,Film & Animation,False,False,public,12197506,793800,3934,561919715,1250000,250,US,240,5,34
86,1136,Gaming,False,True,public,722476,1895,211,549816087,520000,1342,CA,225,6,12225
48,147,Gaming,False,True,public,5002178,298350,4202,182671303,257000,207,CA,150,8,57
35,736,Gaming,False,True,public,203212,14212,294,5819473,454000,17,US,9,1,691
76,248,Gaming,False,True,public,1372329,2844,61,976176244,1120000,7340,DE,399,12,4452
66,572,Gaming,False,True,public,8595,883,17,74550445,335000,1538,DE,2,1,2221
70,381,Gaming,False,True,public,517942,1206,0,3052706,3370,326,US,390,12,1255
28,811,Comedy,True,True,public,15256949,420984,16050,15385135144,14000000,8539,US,351,2,191
31,1647,Gaming,False,True,public,10063490,28356,819,240377780,467000,4749,US,1638,7,9955
66,1310,Gaming,False,True,public,730491,3612,424,549816087,520000,1342,CA,373,1,1005
87,491,Gaming,False,True,public,1389155,2447,73,1053835724,1260000,3713,GB,348,2,1622
41,1740,Gaming,False,True,public,4223427,56468,1568,197226517,382000,841,US,627,5,843
44,352,Gaming,False,True,public,1975,408,30,27435754,106000,152,DE,1,1,1280
11,485,Entertainment,False,True,public,23781749,318753,11277,922644628,1200000,763,NO,1678,6,341
43,508,Education,False,True,public,1461910,45908,213,69696954,182000,709,US,319,3,60
47,471,Education,False,True,public,5798205,248110,590,489000955,768000,1755,US,1052,3,60
